DATA DO ENVIO,PROTOCOLO,MUNICÍPIO,PRESTADORA,TIPO,NATUREZA,COMUNICAÇÃO,ÁREAS AFETADAS,DIA INICIAL,DIA PREVISTO PARA TÉRMINO,ESTRUTURA,RESPONSÁVEL,MOTIVO DO CANCELAMENTO
"22 de jul. de 2025, 09:31:15",CASAL00000683,MACEIÓ,CASAL,Emergencial,"A Mb-01 do R02 Cardoso Apresentou Problema. A Corrente Baixou Para 20A e O Operador Disse Que Estava Com Um Barulho Anormal. Logo, Ele Teve Que Desligar.",Divulgado pela ASCOM,,21-07-2025,2025-07-21,EEAT R2 (Cardoso),CASAL," "
"22 de jul. de 2025, 09:27:03",CASAL00000682,MARAGOGI,CASAL,Emergencial,Limpeza do Poço Pela Verde Alagoas.,Divulgado pela ASCOM,Maragogi,21-07-2025,21-07-2025,P-Mar-Nj 30,VERDE," "
"22 de jul. de 2025, 09:26:34",CASAL00000681,PILAR,CASAL,Emergencial,"Sistema Desligado Às 16H1, A Pedido da Brk, Para Retirada de Vazamento no Barrilete do Poço P-Pil-Ac-01 (13-Mãe).",Divulgado pela ASCOM,Pilar,21-07-2025,2025-07-21,P-Pil-Cfd-01 (14-Frei Damião),BRK," "
"22 de jul. de 2025, 09:26:11",CASAL00000680,PILAR,CASAL,Emergencial,"Sistema Desligado Às 15H12Min, A Pedido da Brk, Para Retirada de Vazamento no Barrilete do Poço",Divulgado pela ASCOM,Pilar,21-07-2025,2025-07-21,P-Pil-Ac-01 (13-Mãe),BRK," "
"22 de jul. de 2025, 09:25:17",CASAL00000679,MURICI,CASAL,Emergencial,Falta de Energia Às 12H27Min;  Protocolo de Atendimento 0016695584; Protocolo de Solicitação 8006620168,Divulgado pela ASCOM,Murici,21-07-2025,21-07-2025,ETA Cachoeira,EQTL," "
"22 de jul. de 2025, 09:24:28",CASAL00000678,MACEIÓ,CASAL,Emergencial,Parado Para Recuperação de Nível.,Divulgado pela ASCOM,,21-07-2025,21-07-2025,EEAT R2 (Cardoso),CASAL," "
"22 de jul. de 2025, 09:05:19",VAA00000283,ANADIA,VAA,Emergencial,Vazamento da Rede de Distribuição/Adutora,Divulgação: Site e whatsapp,"Parte baixa da cidade: Rua Coronel Costa Nunes, Rua Monsenhor Luiz Marques, Travessa Domingos Franco, Rua Domingos Franco e Travessa Monsenhor Luiz Marques.",21-07-2025 10:30,22-07-2025 10:30,Distribuição,VERDE ALAGOAS," "
"22 de jul. de 2025, 08:57:08",VAA00000282,MATRIZ DE CAMARAGIBE,VAA,Emergencial,Vazamento da Rede de Distribuição/Adutora,Divulgação: Site e whatsapp,Conj.cicero cavalcante,21-07-2025 10:30,23-07-2025 07:00,Distribuição,VERDE ALAGOAS," "
"22 de jul. de 2025, 08:00:10",BRK00000895,ATALAIA,BRK,Emergencial,Falha Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (22/07/2025),"CENTRO, JAGATA, LOT. SANTA INÊS, LOT. PARAÍSO e CIDADE ALTA",22-07-2025,23-07-2025,Poço At 10,BRK," "
"22 de jul. de 2025, 06:54:20",BRK00000894,MARECHAL DEODORO,BRK,Emergencial,Falha Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (22/07/2025),"JOSÉ DIAS, BAIXA DA SAPA e TERRA DOS MARECHAIS E WISK-WISK",22-07-2025,22-07-2025,Poço Md 06,BRK," "
"22 de jul. de 2025, 00:22:47",BRK00000893,MACEIÓ,BRK,Emergencial,Manutenção de Rede de Água,A comunicação de paralisação emergencial foi realizada nesta data (22/07/2025),CONJ. LUCILA TOLEDO e CONJ SANTA HELENA E CIDADE UNIVERSITÁRIA,21-07-2025,22-07-2025,P-Clt 01 e P-Sh 01,BRK," "
"22 de jul. de 2025, 00:19:17",BRK00000892,MACEIÓ,BRK,Emergencial,Manutenção de Rede de Água,A comunicação de paralisação emergencial foi realizada nesta data (22/07/2025),"Centro, Prado, Trapiche da Barra e Pontal da Barra",21-07-2025,22-07-2025,Rese-Mc-02 (R-02),BRK," "
"21 de jul. de 2025, 19:23:20",BRK00000891,MACEIÓ,BRK,Emergencial,Ao Furto de Instalação Elétrica,A comunicação de paralisação emergencial foi realizada nesta data (21/07/2025),FAROL e BEBEDOURO,06-03-2025,24-07-2025,P-Fa 03 (Poço Farol 03),CASAL," "
"21 de jul. de 2025, 17:56:30",BRK00000890,MACEIÓ,BRK,Emergencial,Manutenção de Rede de Água,A comunicação de paralisação emergencial foi realizada nesta data (21/07/2025),Benedito Bentes,21-07-2025,22-07-2025,Registro da Av. Garça Torta,BRK," "
"21 de jul. de 2025, 17:51:52",BRK00000889,PILAR,BRK,Emergencial,Manutenção Hidráulica no Poço,A comunicação de paralisação emergencial foi realizada nesta data (21/07/2025),SANTA LUZIA E CONJ. FREI DAMIÃO,21-07-2025,21-07-2025,Poços Pilar Pi 13 e Pi 14,BRK," "
"21 de jul. de 2025, 17:38:00",BRK00000888,MACEIÓ,BRK,Emergencial,Manutenção de Rede de Água,A comunicação de paralisação emergencial foi realizada nesta data (21/07/2025),"Centro, Ponta Grossa, Pontal da Barra, Prado, Trapiche, Vergel do Lago, Levada e Bom Parto e Virgem dos Pobres",21-07-2025,22-07-2025,Registro da Orla Lagunar,BRK," "
"21 de jul. de 2025, 16:40:45",BRK00000887,MACEIÓ,BRK,Emergencial,Falha Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (21/07/2025),ROSANE COLLOR,11-07-2025,24-07-2025,P-Rc 01,CASAL," "
"21 de jul. de 2025, 14:16:44",BRK00000886,MARECHAL DEODORO,BRK,Programada,Manutenção do Sistema de Tratamento,,"Centro, Poeira, Taperagua, Porto Grande, Povoado Pedras, Barro Vermelho, Cajueiro, Veleiros do Frances, Sonho de Ícaro, José Dias, Wisk Wisk e Terra dos Marechais e Loteamento Nova Marechal",28-07-2025,28-07-2025,ETA Estiva,BRK Eurico Bomfim de Melo Neto Operações I Tratamento de Água BRK Ambiental | Unidade Alagoas," "
"21 de jul. de 2025, 13:47:01",BRK00000885,MACEIÓ,BRK,Emergencial,Recuperação de Nível do Reservatório da ETA Cardoso,A comunicação de paralisação emergencial foi realizada nesta data (21/07/2025),"Centro, Ponta Grossa, Pontal, Prado, Trapiche, Vergel do Lago, Levada, Bom Parto, Virgem dos Pobres, Farol, Pitanguinha e Bebedouro e Mutange",21-07-2025,21-07-2025,Elevatória de Água R-02 Cardoso,CASAL," "
"21 de jul. de 2025, 13:25:45",BRK00000884,MURICI,BRK,Emergencial,Falta de Energia Elétrica,A comunicação de paralisação emergencial foi realizada nesta data (21/07/2025),"CENTRO, RES. MUNDAÚ e RES. OLAVO CALHEIROS",21-07-2025,24-07-2025,ETA Cachoeira,EQUATORIAL," "
"21 de jul. de 2025, 12:22:10",BRK00000883,MARECHAL DEODORO,BRK,Emergencial,Falha Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (27/07/2025),POVOADO TUQUANDUBA,21-07-2025,22-07-2025,Poço Md 16,BRK," "
"21 de jul. de 2025, 11:47:55",BRK00000882,MACEIÓ,BRK,Programada,Interligação da Rede Nova Com A Existente,A COMUNICAÇÃO DA PARALISAÇÃO FOI REALIZADA NESTA DATA (21/07/2025),"POÇO, PONTA DA TERRA, PAJUÇARA, PONTA VERDE e JATIÚCA",30-07-2025,30-07-2025,"Dmc (Carlos Tenorio, Pretestato F. Machado)",BRKambiental At.te Samara Barbosa de Almeida Perdas – Engenharia BRK RMM BRK Ambiental Participações S.A. [Uma imagem contendo Ícone  Descrição gerada automaticamente]," "
"21 de jul. de 2025, 11:44:37",BRK00000881,MACEIÓ,BRK,Programada,Interligação da Rede Nova Com A Existente,A COMUNICAÇÃO DA PARALISAÇÃO FOI REALIZADA NESTA DATA (21/07/2025),"POÇO, PONTA DA TERRA, PAJUÇARA, PONTA VERDE, JATIÚCA e JARAGUA",29-07-2025,29-07-2025,"Dmc (Carlos Tenorio, Pio Xii, Inacio Gracindo)",BRKambiental At.te Samara Barbosa de Almeida Perdas – Engenharia BRK RMM BRK Ambiental Participações S.A. [Uma imagem contendo Ícone  Descrição gerada automaticamente]," "
"21 de jul. de 2025, 10:47:05",CASAL00000677,MATRIZ DE CAMARAGIBE,CASAL,Emergencial,Problema Elétrico na Bomba.,Divulgado pela ASCOM,Matriz de Camaragibe,21-07-2025,2025-07-21,P-Mat-Fuza 10,CASAL," "
"21 de jul. de 2025, 10:43:03",CASAL00000676,MATRIZ DE CAMARAGIBE,CASAL,Emergencial,Substituição de Registro Pela Verde Alagoas.,Divulgado pela ASCOM,Matriz de Camaragibe,21-07-2025,2025-07-21,P-Mat-Bj-13,VERDE," "
"21 de jul. de 2025, 10:42:29",CASAL00000675,MATRIZ DE CAMARAGIBE,CASAL,Emergencial,Substituição de Registro Pela Verde Alagoas.,Divulgado pela ASCOM,Matriz de Camaragibe,21-07-2025,2025-07-21,P-Mat-Bj-12,VERDE," "
"21 de jul. de 2025, 10:25:44",VAA00000281,MATRIZ DE CAMARAGIBE,VAA,Emergencial,Falha Eletromecânica,Divulgação: Site e whatsapp,Fusal,21-07-2025 08:00,22-07-2025 08:00,Poço (Casal),CASAL," "
"21 de jul. de 2025, 09:27:58",CASAL00000674,MACEIÓ,CASAL,Emergencial,Mb Desligada Para Recuperação do Nível do Reservatório de Sucção.,Divulgado pela ASCOM,Maceió,20-07-2025,20-07-2025,EEAT R2 (Cardoso),CASAL," "
"21 de jul. de 2025, 09:27:32",CASAL00000673,PIAÇABUÇU,CASAL,Emergencial,Falta de Energia na Captação Penedinho Piaçabuçu.,Divulgado pela ASCOM,,20-07-2025,2025-07-20,EEab Piaçabuçu Penedinho,EQTL," "
"21 de jul. de 2025, 09:26:48",CASAL00000672,TAQUARANA,CASAL,Emergencial,Falta de Energia,Divulgado pela ASCOM,Taquarana,20-07-2025,2025-07-20,EEab Taquarana,EQTL," "
"21 de jul. de 2025, 09:26:11",CASAL00000671,MACEIÓ,CASAL,Emergencial,Recuperação de Nível do Reservatório,Divulgado pela ASCOM,,20-07-2025,2025-07-20,EEAT R2 (Cardoso),CASAL," "
"21 de jul. de 2025, 09:25:17",CASAL00000670,BARRA DE SÃO MIGUEL,CASAL,Emergencial,"Vazão Zerada Das 09H27Min Às 16H. Vistoriador Encontrou O Poço Parado e Acionou em Modo Manual. Ao Reforçar A Necessidade de Inspeção do Intertravamento Ao Cco Brk, Recebemos A Informação Que O Sistema Estaria Funcionando Normalmente e Que O Poço Deveria Permanecer no Automático. Reiterei Que O Poço Só Está Funcionando no Manual e Suscitei A Visita em Conjunto Das Equipes Para Inspecionar O Sistema.",Divulgado pela ASCOM,Maceió,19-07-2025,19-07-2025,P-Bsm-Bar-02,CASAL," "
"21 de jul. de 2025, 09:23:40",CASAL00000669,MACEIÓ,CASAL,Emergencial,Vazão Zerada Às 05H27Min. Vistoriador Não Conseguiu Acionar O Equipamento. Necessário Intervenção da Equipe de Manutenção.,Divulgado pela ASCOM,Maceió,19-07-2025,2025-07-19,P-Mac-Jdl-02A,CASAL," "
"21 de jul. de 2025, 09:22:36",CASAL00000668,MARAGOGI,CASAL,Emergencial,O Poço Ficou Parado Para Limpeza.,Divulgado pela ASCOM,Maragogi,18-07-2025,18-07-2025,P-Mar-Nj 27,VERDE," "
"21 de jul. de 2025, 09:22:10",CASAL00000667,MARAGOGI,CASAL,Emergencial,"P-Mar-Nj- 28, 29 e 30 Foram Desligados Para Substituição da Luva do Poço 30.",Divulgado pela ASCOM,,18-07-2025,18-07-2025,P-Mar-Nj 28,CASAL," "
"21 de jul. de 2025, 09:20:47",CASAL00000666,MAR VERMELHO,CASAL,Emergencial,Após Retorno da Energia O Sistema Não Voltou A Funcionar.,Divulgado pela ASCOM,Mar Vermelho,18-07-2025,2025-07-18,EEab Mar Vermelho,CASAL," "
"21 de jul. de 2025, 09:20:16",CASAL00000665,MAR VERMELHO,CASAL,Emergencial,Falta de Energia,Divulgado pela ASCOM,Mar Vermelho,18-07-2025,18-07-2025,EEab Mar Vermelho,EQTL," "
"21 de jul. de 2025, 09:19:40",CASAL00000664,TAQUARANA,CASAL,Emergencial,Falta de Energia,Divulgado pela ASCOM,Taquarana,18-07-2025,18-07-2025,EEab Taquarana,CASAL," "
"20 de jul. de 2025, 18:27:42",BRK00000880,MACEIÓ,BRK,Emergencial,Falha Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (20/07/2025),Feitosa,08-06-2025,23-07-2025,Poço P-Am 02,CASAL," "
"20 de jul. de 2025, 14:51:01",BRK00000879,MACEIÓ,BRK,Emergencial,Falta de Fase,A comunicação de paralisação emergencial foi realizada nesta data (20/07/2025),MONTE ALEGRE E JARDIM PETRÓPOLIS,20-07-2025,23-07-2025,Poços do Monte Alegre,EQUATORIAL," "
"20 de jul. de 2025, 10:09:15",VAA00000280,TAQUARANA,VAA,Emergencial,Falha na Captação,Divugação: site e whatsapp,Toda a cidade,20-07-2025 08:30,21-07-2025 08:30,Captação (Casal),EQUATORIAL," "
"20 de jul. de 2025, 05:50:39",BRK00000878,MACEIÓ,BRK,Emergencial,À Recuperação de Nível do Reservatório da ETA,A comunicação de paralisação emergencial foi realizada nesta data (20/07/2025),"Centro, Ponta Grossa, Pontal, Prado, Trapiche, Vergel do Lago, Levada, Bom Parto, Virgem dos Pobres, Farol, Pitanguinha, Bebedouro e Mutange",20-07-2025,20-07-2025,"Eate-Mc-04 (Elevatória Cardoso R2A, R3A)",CASAL," "
"19 de jul. de 2025, 23:42:46",BRK00000877,MACEIÓ,BRK,Emergencial,Ao Furto de Instalação Elétrica,A comunicação de paralisação emergencial foi realizada nesta data (19/07/2025),PITANGUINHA,19-07-2025,20-07-2025,EEe R3,BRK," "
"19 de jul. de 2025, 16:35:14",BRK00000876,ATALAIA,BRK,Emergencial,Alteração de Água Bruta,A comunicação de paralisação emergencial foi realizada nesta data (19/07/2025),POVOADO SAPUCAIA,01-07-2025,22-07-2025,Captação Sapucaia,BRK," "
"19 de jul. de 2025, 08:00:10",VAA00000279,SÃO LUÍS DO QUITUNDE,VAA,Emergencial,Falha no Fornecimento de Energia,Divulgação: site e whatasapp,"Centro, alto da cohab, casas nova, Cristo Redentor, quitunde II e quitunde III",19-07-2025 01:52,20-07-2025 08:00,Eab Castanha,EQUATORIAL," "
"19 de jul. de 2025, 07:55:28",VAA00000278,SÃO LUÍS DO QUITUNDE,VAA,Emergencial,Falha no Fornecimento de Energia,Divulgação: site e whatsapp,"Centro, alto da cohab, Cristo Redentor, casas Nova e quitunde II e Quitunde III",18-07-2025 17:50,19-07-2025 08:00,Eab Castanha,EQUATORIAL," "
"19 de jul. de 2025, 07:02:41",BRK00000875,MACEIÓ,BRK,Emergencial,Falta de Energia Elétrica,A comunicação de paralisação emergencial foi realizada nesta data (18/07/2025),VERGEL DO LAGO e PONTA GROSSA,18-07-2025,19-07-2025,EEe-Mc-15 (Vergel do Lago),EQUATORIAL," "
"19 de jul. de 2025, 06:58:40",BRK00000874,MARECHAL DEODORO,BRK,Emergencial,Manobra Operacional,A comunicação de paralisação emergencial foi realizada nesta data (18/07/2025),SANTA RITA e BARRA NOVA,18-07-2025,19-07-2025,EEab Volta D'Água,BRK," "
"18 de jul. de 2025, 16:58:00",BRK00000873,BARRA DE SANTO ANTÔNIO,BRK,Emergencial,Falha Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (18/07/2025),Centro,18-07-2025,19-07-205,Poço Bsa 17,BRK," "
"18 de jul. de 2025, 15:28:06",VAA00000277,MAR VERMELHO,VAA,Emergencial,Falha Eletromecânica,"Divulgação no site, whatsapp com moradores e email para imprensa.",TODA A CIDADE,18-07-2025 13:46,19-07-2025 13:46,Captação (Casal),CASAL," "
"18 de jul. de 2025, 15:27:34",VAA00000276,TAQUARANA,VAA,Emergencial,Falha no Fornecimento de Energia,"Divulgação no site, whatsapp com moradores e email para imprensa.",Toda a cidade,18-07-2025 10:40,19-07-2025 10:40,Captação (Casal),EQUATORIAL," "
"18 de jul. de 2025, 15:27:34",VAA00000275,MAR VERMELHO,VAA,Emergencial,Falha no Fornecimento de Energia,"divulgação no site oficial, whatsapp com moradores e e-mail para a imprensa.",Toda a cidade,18-07-2025 09:10,19-07-2025 09:10,Captação (Casal),EQUATORIAL," "
"18 de jul. de 2025, 15:27:34",VAA00000274,COLÔNIA LEOPOLDINA,VAA,Emergencial,Falha Nas Etapas de Tratamento,"Divulgação no site oficial, whatsapp com moradores e e-mail para imprensa.",Todo município,18-07-2025 08:30,19-07-2025 09:00,ETA (Casal),CASAL," "
"18 de jul. de 2025, 15:25:13",VAA00000273,PASSO DE CAMARAGIBE,VAA,Emergencial,Vazamento da Rede de Distribuição/Adutora,"Divulgação no site oficial, whatsapp com moradores e e-mail para a imprensa.",Centro,18-07-2025 08:00,19-07-2025 08:00,Distribuição,VERDE ALAGOAS," "
"18 de jul. de 2025, 15:16:26",BRK00000872,MACEIÓ,BRK,Emergencial,Falha Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (18/07/2025),CONJUNTO MORADA DO PLANALTO e BENEDITO BENTES,14-07-2025,21-07-2025,P-Rmp 01,CASAL," "
"18 de jul. de 2025, 11:33:08",BRK00000869,COQUEIRO SECO,BRK,Emergencial,Falha Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (18/07/2025),Centro,18-07-2025,19-07-2025,Elevatória de Água de Coqueiro Seco,CASAL," "
"18 de jul. de 2025, 11:30:50",BRK00000871,RIO LARGO,BRK,Emergencial,Alteração de Água Bruta,A comunicação de paralisação emergencial foi realizada nesta data (18/07/2025),"Vila Rica, Cachoeira, Centro, Alto do Ginásio, Alto São Miguel e Lourenço de Albuquerque e Mata do Rolo",18-07-2025,19-07-2025,ETA Mata do Rolo,CASAL,"Protocolo foi gerado em duplicidade, as comprovações foram enviadas no protocolo BRK00000868."
"18 de jul. de 2025, 11:30:50",BRK00000868,RIO LARGO,BRK,Emergencial,Alteração de Água Bruta,A comunicação de paralisação emergencial foi realizada nesta data (18/07/2025),"Vila Rica, Cachoeira, Centro, Alto do Ginásio, Alto São Miguel e Lourenço de Albuquerque e Mata do Rolo",18-07-2025,19-07-2025,ETA Mata do Rolo,CASAL," "
"18 de jul. de 2025, 10:54:29",BRK00000867,ATALAIA,BRK,Emergencial,Falha Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (18/07/2025),ZONA RURAL,18-07-2025,19-07-2025,Poço At 02,BRK," "
"18 de jul. de 2025, 10:09:18",BRK00000866,MACEIÓ,BRK,Emergencial,Ao Furto de Instalação Elétrica,A comunicação de paralisação emergencial foi realizada nesta data (18/07/2025),FAROL e BEBEDOURO,06-03-2025,21-07-2025,P-Fa 03 (Poço Farol 03),CASAL," "
"18 de jul. de 2025, 09:38:58",BRK00000865,MARECHAL DEODORO,BRK,Emergencial,Falha Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (18/07/2025),Santa Rita e Massagueira e Praia do Saco,18-07-2025,19-07-2025,Elevatória de Água Bruta Bica da Pedra,BRK," "
"18 de jul. de 2025, 08:44:51",CASAL00000659,COLÔNIA LEOPOLDINA,CASAL,Emergencial,Má Qualidade da Água Bruta,Divulgado pela ASCOM,Colônia Leopoldina,18-07-2025,2025-07-18,ETA Colônia Leopoldina,CASAL," "
"18 de jul. de 2025, 08:40:36",CASAL00000663,PASSO DE CAMARAGIBE,CASAL,Emergencial,ETA Desligada À Pedido da Verde Alagoas Para Retirada de Vazamento em Rda.,Divulgado pela ASCOM,Passo de Camaragibe,18-07-2025,2025-07-18,ETA-Passo de Camaragibe,VERDE,Verificamos que a mesma interrupção foi avisada duas vezes gerando dois protocolos (CASAL00000658)
"18 de jul. de 2025, 08:40:36",CASAL00000658,PASSO DE CAMARAGIBE,CASAL,Emergencial,ETA Desligada À Pedido da Verde Alagoas Para Retirada de Vazamento em Rda.,Divulgado pela ASCOM,Passo de Camaragibe,18-07-2025,2025-07-18,ETA-Passo de Camaragibe,VERDE," "
"18 de jul. de 2025, 08:30:44",CASAL00000662,MACEIÓ,CASAL,Emergencial,"Elevatória Parada Devido A Problemas Eletromecânico na Motobomba de Extração de Ar da Rede, Para Ligar A Elevatória.",Divulgado pela ASCOM,Maceió,18-07-2025,18-07-2025,EEAT R2 (Cardoso),CASAL," "
"18 de jul. de 2025, 08:30:44",CASAL00000657,MACEIÓ,CASAL,Emergencial,"Elevatória Parada Devido A Problemas Eletromecânico na Motobomba de Extração de Ar da Rede, Para Ligar A Elevatória.",Divulgado pela ASCOM,Maceió,18-07-2025,18-07-2025,EEAT R2 (Cardoso),CASAL," "
"18 de jul. de 2025, 08:30:11",CASAL00000661,MACEIÓ,CASAL,Emergencial,Parado Às 12H44Min Para Recuperação de Nível da Sucção.,Divulgado pela ASCOM,Maceió,17-07-2025,17-07-2025,EEAT R2 (Cardoso),CASAL," "
"18 de jul. de 2025, 08:30:11",CASAL00000656,MACEIÓ,CASAL,Emergencial,Parado Às 12H44Min Para Recuperação de Nível da Sucção.,Divulgado pela ASCOM,Maceió,17-07-2025,17-07-2025,EEAT R2 (Cardoso),CASAL," "
"18 de jul. de 2025, 08:25:25",CASAL00000660,PAULO JACINTO,CASAL,Emergencial,Vazamento na Bomba da Captação.,Divulgado pela ASCOM,Paulo Jacinto,17-07-2025,17-07-2025,EEab Paulo Jacinto,CASAL," "
"18 de jul. de 2025, 08:25:25",CASAL00000655,PAULO JACINTO,CASAL,Emergencial,Vazamento na Bomba da Captação.,Divulgado pela ASCOM,Paulo Jacinto,17-07-2025,17-07-2025,EEab Paulo Jacinto,CASAL," "
"18 de jul. de 2025, 08:23:53",BRK00000864,MACEIÓ,BRK,Programada,Interligação da Rede Nova Com A Existente,A COMUNICAÇÃO DA PARALISAÇÃO FOI REALIZADA NESTA DATA (18/07/2025),PONTA DA TERRA e PAJUÇARA,30-07-2025,30-07-2025,Dmc (Trv. Santa Nazaré),BRKambiental At.te Samara Barbosa de Almeida Perdas – Engenharia BRK RMM BRK Ambiental Participações S.A. [Uma imagem contendo Ícone  Descrição gerada automaticamente],"A data de paralisação foi cancelada devido a um imprevisto, sendo necessário reagendar para uma nova data"
"18 de jul. de 2025, 08:19:44",BRK00000863,MACEIÓ,BRK,Programada,Interligação da Rede Nova Com A Existente,A COMUNICAÇÃO DA PARALISAÇÃO FOI REALIZADA NESTA DATA (18/07/2025),CRUZ DAS ALMAS,29-07-2025,29-07-2025,Dmc (Gustavo Paiva),BRKambiental At.te Samara Barbosa de Almeida Perdas – Engenharia BRK RMM BRK Ambiental Participações S.A. [Uma imagem contendo Ícone  Descrição gerada automaticamente],"Áreas afetadas informada incorretamente, Será enviado novo e-mail"
"18 de jul. de 2025, 08:13:56",BRK00000862,MACEIÓ,BRK,Programada,Interligação da Rede Nova Com A Existente,A COMUNICAÇÃO DA PARALISAÇÃO FOI REALIZADA NESTA DATA (18/07/2025),"PONTA DA TERRA, CRUZ DAS ALMAS, POÇO, JATIUCA, PAJUÇARA e PONTA VERDE",28-07-2025,28-07-2025,"Dmc (Carlos Tenorio, Gustavo Paiva, Soldado Jose Guilherme, Trv. Dona Constancia)",BRKambiental At.te Samara Barbosa de Almeida Perdas – Engenharia BRK RMM BRK Ambiental Participações S.A. [Uma imagem contendo Ícone  Descrição gerada automaticamente]," "
"18 de jul. de 2025, 05:42:07",BRK00000870,MACEIÓ,BRK,Emergencial,Falha Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (18/07/2025),"Centro, Ponta Grossa, Pontal, Prado, Trapiche, Vergel do Lago, Levada, Bom Parto, Virgem dos Pobres, Farol, Pitanguinha, Bebedouro e Mutange",18-07-2025,18-07-2025,Elevatória de Água Cardoso R2A,CASAL,"Protocolo foi gerado em duplicidade, as comprovações foram enviadas no protocolo BRK00000861."
"18 de jul. de 2025, 05:42:07",BRK00000861,MACEIÓ,BRK,Emergencial,Falha Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (18/07/2025),"Centro, Ponta Grossa, Pontal, Prado, Trapiche, Vergel do Lago, Levada, Bom Parto, Virgem dos Pobres, Farol, Pitanguinha, Bebedouro e Mutange",18-07-2025,18-07-2025,Elevatória de Água Cardoso R2A,CASAL," "
"17 de jul. de 2025, 17:35:45",BRK00000860,PILAR,BRK,Emergencial,Falha Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (17/07/2025),CHÃ DO PILAR,16-07-2025,20-07-2025,Pi 08,CASAL," "
"17 de jul. de 2025, 17:10:10",BRK00000859,MARECHAL DEODORO,BRK,Programada,Limpeza de Reservatório,A COMUNICAÇÃO DA PARALISAÇÃO FOI REALIZADA NESTA DATA (17/06/2025),"CENTRO, POVOADO DAS PEDRAS, BARRO VERMELHO, PORTO GRANDE, CONJUNTO JOSÉ DIAS, BAIXA DA SAPA, CARMO, LOT. EL DOURADO, TAPERAGUÁ, TUQUANDUBA e LOT. VELEIROS DO FRANCÊS.",28-07-2025,28-07-2025,Rese-Md-02,"BRK Ambiental RMM At.te. Kellyane Santos Operações – Manutenção de Redes e Distribuição de Água BRK Ambiental Participações S.A. [Ícone  Descrição gerada automaticamente] +55 (82) 98167-2057 [Uma imagem contendo Ícone  Descrição gerada automaticamente] kellyane.santos@brkambiental.com.br [Uma imagem contendo objeto, relógio  Descrição gerada automaticamente]"," "
"17 de jul. de 2025, 16:54:55",BRK00000858,MACEIÓ,BRK,Emergencial,Falha Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (17/07/2025),Feitosa,08-06-2025,20-07-2025,Poço P-Am 02,CASAL," "
"17 de jul. de 2025, 15:37:37",BRK00000857,RIO LARGO,BRK,Programada,Limpeza de Reservatório,A COMUNICAÇÃO DA PARALISAÇÃO FOI REALIZADA NESTA DATA (17/06/2025),TABULEIRO DO PINTO,25-07-2025,25-07-2025,Rese-Rl-02,"BRK Ambiental RMM At.te. Kellyane Santos Operações – Manutenção de Redes e Distribuição de Água BRK Ambiental Participações S.A. [Ícone  Descrição gerada automaticamente] +55 (82) 98167-2057 [Uma imagem contendo Ícone  Descrição gerada automaticamente] kellyane.santos@brkambiental.com.br [Uma imagem contendo objeto, relógio  Descrição gerada automaticamente]"," "
"17 de jul. de 2025, 13:58:08",VAA00000272,ANADIA,VAA,Emergencial,Vazamento da Rede de Distribuição/Adutora,Divulgação: site e whatsapp,"Parte baixa da cidade: Rua Coronel Costa Nunes, Rua Monsenhor Luiz Marques, Travessa Domingos Franco e Rua Domingos Franco.",17-07-2025 08:00,18-07-2025 08:00,Distribuição,VERDE ALAGOAS," "
"17 de jul. de 2025, 13:51:29",BRK00000856,MACEIÓ,BRK,Emergencial,Recuperação de Nível do Reservatório da ETA Cardoso,A comunicação de paralisação emergencial foi realizada nesta data (17/07/2025),"Centro, Ponta Grossa, Pontal, Prado, Trapiche, Vergel do Lago, Levada, Bom Parto, Virgem dos Pobres, Farol, Pitanguinha e Bebedouro e Mutange",17-07-2025,17-07-2025,Elevatória de Água R-02 Cardoso,CASAL," "
"17 de jul. de 2025, 13:50:03",VAA00000271,UNIÃO DOS PALMARES,VAA,Emergencial,Manutenção Programada - Tratamento,Divulgação: Site e whatsapp,Distrito Rocha Cavalcante.,17-07-2025 13:00,17-07-2025 17:00,ETA Rocha Cavalcante,VERDE ALAGOAS," "
"17 de jul. de 2025, 11:37:47",BRK00000855,PILAR,BRK,Emergencial,Manutenção de Rede de Água,A comunicação de paralisação emergencial foi realizada nesta data (17/07/2025),CENTRO e JORGE ALVES DE BARROS,17-07-2025,18-07-2025,Rese-Pi-02,BRK," "
